source,target
A18438-0,A34239-0
A18438-0,A34433-0
A18438-0,A35003-0
A18438-0,A38656
A18438-0,A40514-0
A18438-0,A43291-0
A18438-0,A4702
A18438-0,A47130-0
A18438-0,A48776-0
A18438-0,A48817-0
A18438-0,A49268-0
A18438-0,A50118-0
A18438-0,A636
A18438-0,A8079-0
A18438-1,A31899-0
A18438-1,A34433-0
A18443-0,A20708-0
A18443-0,A27664-0
A18443-0,A39739-0
A18443-0,A43662-0
A18443-0,A51360-6
A18443-0,A6487-1
A18443-0,A8036-0-0
A18443-0,A9661-1
A18443-1,A20708-0
A18443-1,A37365
A18443-1,A8468-4
A18527,A28136
A18527,A35485
A18527,A46546-5
A18527,A6091-0
A18527,A9157
A18540,A21919-0
A18557-1,A7129-0
A18560-0,A25723-2
A18560-0,A27450-18
A18560-0,A37725-1
A18560-0,A49763-0
A18560-0,A51813-0-0
A18560-0,A6716-0
A18560-0,A8015-17
A18562-0,A30102-0
A18564-1,A35409-0
A18568-0,A49676-0-2
A18569-0,A50051-0
A18571-1,A39744-0
A18571-1,A7892-0
A18571-13,A27016-Unknow1
A18571-13,A27452-0-0
A18573-1,A35135-0
A18573-1,A51360-38
A18573-1,A52236-3
A18595-0,A20053-0
A18595-0,A20838-0
A18595-0,A37961-0
A18595-0,A38786
A18595-0,A39002-0
A18595-0,A7924-0
A18624-1,A20323-0
A18638-0,A21438-0
A18638-0,A25789-0
A18638-0,A26508-0-0
A18638-0,A26508-1-1
A18638-0,A27106
A18638-0,A29388-0
A18638-0,A35658
A18638-0,A8588
A18642-0,A28328-0
A18642-0,A43924
A18642-0,A50156-0
A18646-0,A39739-0
A18646-0,A43662-0
A18646-0,A5650-1
A18647-0,A27076-0
A18647-0,A8079-0
A18652-2,A41464
A18652-2,A8019-2-0
A18653-0,A6091-0
A18653-1,A51779-0
A18667-0,A22228-0
A18667-0,A52274-7
A18667-0,A7129-0
A18667-1,A21758-0
A18667-1,A52345-6
A18683,A52241-0
A18710-0,A20757-1
A18710-0,A22283-0
A18710-0,A33033-0
A18710-0,A6716-0
A18719,A26948-0
A18738-0,A27018-28
A18738-0,A27354-0
A18738-0,A35409-0
A18738-0,A36581
A18738-0,A44207-0
A18738-0,A44263-0
A18738-0,A49680-0-3
A18738-0,A51187-0
A18738-0,A51349-1
A18738-0,A8015-2
A18738-0,A8020-33
A18739-0,A51380-6
A1874-0,A19343-0
A1874-0,A20854-0
A1874-0,A28008-0
A1874-0,A36793
A1874-0,A45881
A1874-0,A48861-0
A1874-0,A49677-11
A1874-0,A52127-0
A1874-0,A6273-0
A1874-0,A6940-0
A1874-0,A6940-1
A1874-0,A7383-0
A18780-0,A27238-0-4
A18780-0,A27392-0
A18780-0,A32824-0
A18820-0,A19934-0
A18820-0,A22288-0
A18820-0,A3409-0
A18828-0,A21271-0
A18828-0,A25103
A18828-0,A38729
A18828-0,A52249-Unknow0
A18841-1,A35016
A18841-1,A44456-1
A18843-0,A21706-0
A18843-0,A28274-0-2
A18843-0,A369-0
A18843-0,A41268-0
A18843-0,A42684-0
A18843-0,A52223
A18843-0,A7232-0
A18843-0,A8598-0
A18874-1,A20701-0
A18874-1,A25811
A18874-1,A32399-0
A18962,A21298
A18962,A2962-0
A18962,A46525-0
A18962,A50156-0
A18962,A8019-53
A18987-0,A21649-0
A18987-0,A21740
A18987-0,A22238-0
A18987-0,A2729-0
A18987-0,A29969-0
A18987-0,A30122-0
A18987-0,A34799-0
A18987-0,A35418-1
A18987-0,A35671-0
A18987-0,A46646-0
A18987-0,A49622-0
A18987-0,A49674-86
A18987-0,A52279-10
A18987-0,A52556-0
A18987-0,A6982-0
A18987-1,A43339-1
A18987-1,A4551-0
A18987-1,A46115-3-2
A18987-1,A46646-0
A18987-1,A46646-1
A19005-1,A39236-0
A19005-1,A45764-0
A19005-1,A5673
A19005-1,A7129-0
A1903-0,A26499-1-0
A1903-0,A2752
A1903-0,A44936
A19056-0,A28291-1
A19056-0,A32838
A19056-2,A6340-0
A19061-1,A27047-0-0
A19061-1,A40158-0
A19061-1,A46618-0
A19070-2,A28766
A19070-2,A38716-1
A19070-2,A4519-0
A19118-0,A27464-1
A19118-0,A29388-0
A19118-0,A33641-1
A19134-0,A25454-0
A19134-0,A27462-0
A19134-0,A31406-0
A19147-0,A2580-0
A19147-0,A31652-0
A19147-0,A47572-0
A19150-0,A22131
A19150-0,A3603-0
A19150-0,A40113-0
A19150-0,A7941-0
A19150-0,A8015-9
A19161-3,A35133-2
A19161-3,A43986-0
A19161-3,A45258-0-3
A19163-6,A20655-2
A19163-6,A27034-2
A19163-6,A28270-1
A19164-1,A41118-0
A19168-0,A50334-1
A19168-0,A51344-2
A19170-0,A26301-0
A19171-0-0,A19172-26
A19171-0-0,A27026-72
A19171-0-0,A27220-0-1
A19171-0-0,A37687-0
A19171-0-0,A52241-3-2
A19171-0-0,A52256-0-3
A19171-1-0,A20286-0
A19171-1-0,A20610-0
A19171-1-0,A20614-0-0
A19171-1-0,A22052-1
A19171-1-0,A24935-1
A19171-1-0,A2689-1
A19171-1-0,A27010-33
A19171-1-0,A27230-0
A19171-1-0,A28270-1
A19171-1-0,A32209-0
A19171-1-0,A32888-0
A19171-1-0,A33278-0
A19171-1-0,A35956-3
A19171-1-0,A42728-0-1
A19171-1-0,A49673-0
A19171-1-0,A49676-0-3
A19171-1-0,A49928-0-0
A19171-1-0,A5072-0
A19171-1-0,A51360-59
A19171-1-0,A52245-2
A19171-1-0,A52306-3
A19171-1-0,A52306-4
A19171-1-0,A52307-1
A19171-1-0,A52346-5
A19171-1-0,A52373-0-0
A19171-1-0,A52384-0
A19171-1-0,A52384-1
A19171-1-0,A52579
A19171-1-0,A52621-0
A19171-1-0,A9279
A19171-1-0,A9631-0
A19171-7,A37687-0
A19172-15,A22032-0
A19172-15,A51779-0
A19172-19,A45893-2
A19172-19,A8030-1-1
A19172-20,A27445-0
A19172-26,A27026-72
A19172-26,A27220-0-1
A19172-26,A45893-2
A19172-26,A52241-3-2
A19172-26,A52256-0-3
A19172-Unknow3,A22068-20
A19172-Unknow3,A52241-5
A19173-1,A23033-0
A19173-1,A26507-13
A19173-1,A32302-0
A19173-1,A39916
A19173-1,A43712-1
A19173-1,A52246-7
A19173-8,A34799-0
A19185-0,A20208-0
A19185-0,A39994-0
A19185-0,A44671-0
A19200-0,A43265-0
A19227-0,A27228-6
A19227-0,A43429-0
A19227-0,A45034-0
A19227-0,A51350-0
A19227-0,A52309-3
A19247-0,A46103-0
A19286,A50950-43
A19286,A9430
A19343-0,A52127-0
A19343-0,A6940-1
A19351-0,A45087-6
A19351-0,A9047-0
A19362-0,A19363-1
A19362-0,A5110-0
A19362-1,A21938-0
A19362-1,A39739-0
A19362-1,A43662-0
A19362-2,A3983-0
A19410-0,A22288-0
A19410-0,A25084
A19410-0,A26300-0
A19410-0,A50459-0
A19410-0,A5688-0
A19413-0,A33259-0
A19414-1,A27230-2
A19414-1,A3230-3
A19414-1,A42816-0
A19414-1,A46108
A19415,A29788
A19415,A30947-0
A19415,A50836-0
A19415,A52359-3
A19429-0,A6716-0
A19429-0,A9399-0
A19433-0,A21701-0
A19433-0,A35410-0
A19433-0,A541-0
A19452-0,A51695-0
A19457,A27219-0-1
A19457,A32930
A19457,A3781
A19457,A4256-0
A19457,A4261-1
A19458,A21989-0
A19458,A48164-0
A19460-0,A5943-0
A19483-1,A8079-0
A19484,A35412-0
A19486-0,A31620-0
A19486-0,A369-0
A19486-0,A8598-0
A19498,A23883-0
A19514,A4177-0
A19550-0,A31109-4
A19550-0,A34958
A19550-0,A36491
A19550-0,A39002-0
A19550-0,A39308-0
A19550-0,A39308-1
A19550-0,A45453-1
A19550-0,A51744-5
A19550-0,A6182-0
A19582-0,A38077-1
A19600-0,A1995
A19600-0,A32014-0
A19600-0,A40236-0
A19600-0,A9310-0
A19601-0,A21046-0
A19601-0,A22211-0
A19601-0,A27380-0
A19601-0,A2762
A19601-0,A35173
A19601-0,A43166-0
A19601-0,A4455-6
A19601-0,A50218-0
A19601-0,A52346-3-1
A19601-0,A8009-8
A19601-2,A50218-0
A19636,A40959-1
A19636,A51993-0
A19636,A9586
A1964-2,A22511-0
A19654-0,A20838-0
A19654-0,A34239-1
A19654-0,A34360-1
A19654-0,A38252-0
A19654-0,A48293-0
A19654-0,A49682-7
A19673-0,A22217-10
A19673-0,A23889-9
A19673-0,A45258-1-1
A19697,A28887-0
A19697,A29499-2
A19697,A33448-1
A19706-0,A27455-0
A19742-0,A25969
A19742-0,A26497-0-1
A19742-0,A39093
A19742-0,A40233-2
A19742-0,A40980-0
A19742-0,A44854-0
A19742-0,A50499-0
A19742-0,A52356-Unknow0
A19762-1,A51599-4
A19779-0,A29586-0
A19779-0,A48861-0
A19787-1,A28242-1
A19787-1,A30241-1
A19787-1,A30553
A19787-1,A36602-0
A19787-1,A48575
A19791-1,A25148
A19791-1,A27452-49
A19791-1,A45086-20
A19791-3,A3159
A19791-3,A39995-0
A19894-0,A25772-0
A19916,A22702-0
A19916,A24573-4
A19916,A32824-0
A19916,A41083-0
A19923-0,A5341-0
A19923-0,A7305-0
A19933-0,A29545-0
A19933-0,A48491-0
A19934-0,A20115
A19934-0,A22288-0
A19934-0,A30223-0
A19934-0,A3409-0
A19934-0,A48293-0
A19934-0,A49557-0
A19934-0,A8598-0
A19934-0,A9860-0
A1995,A32014-0
A1995,A40236-0
A1995,A9310-0
A19957-3,A46924-0
A19957-3,A7703-0
A19958-2,A46768-0
A19958-2,A47466-0
A19965-2,A26507-2-1
A19979-0,A20213
A19979-0,A22283-0
A19979-0,A23689-0
A19979-0,A25792-1
A19979-0,A29157-0
A19979-0,A29157-1
A19979-0,A37343-0
A19979-0,A39608-0
A19979-0,A39770-0
A19979-0,A39946-0
A19979-0,A40236-0
A19979-0,A41953
A19979-0,A5341-0
A19979-0,A7305-0
A19979-0,A9310-0
A19991-0,A43680-0
A19991-0,A50240-0
A20001-0,A27452-35
A20001-0,A38645-0
A20001-0,A41093-0
A20001-0,A7129-0
A20037-1,A24462-1
A20037-1,A33600
A20037-2,A2290-1
A20037-2,A33747
A20053-0,A23592-2
A20053-0,A27586
A20053-0,A33259-0
A20053-0,A37961-0
A20053-0,A49266-0
A20058-2,A42217-0
A20058-2,A49976-0
A20074-0,A26798-0
A20074-0,A33383-1
A20074-0,A38716-0
A20074-0,A38716-1
A20074-0,A39899-0
A20074-0,A41630-0
A20089,A41712-0
A20089,A43725-1
A20099-0,A22934-0
A20099-0,A27461-4
A20099-0,A39940-0
A20099-0,A46030
A20099-0,A46129-0
A20099-0,A49676-36
A20099-0,A52251-46
A20099-0,A872
A20115,A9860-0
A20138-0,A23091-1
A20138-0,A30151-0
A20138-0,A47042-0
A20138-0,A50404-0
A20138-0,A50947-Unknow0
A20138-0,A5720-2
A20138-1,A4291
A20138-1,A50404-1
A20138-1,A5720-2
A2014-3,A27008-1
A2014-3,A27017-1-2
A20164-0,A20653-14
A20164-0,A28273-0-0
A20164-0,A32249-1
A20164-0,A39171
A20164-0,A49428-0
A20164-0,A49681-6
A20171-2,A36007-1
A20173-0,A8110-0
A20174-0,A40507-0
A20180-0,A35926-0
A20180-0,A44934-0
A20208-0,A21806-0
A20208-0,A23875-6-0
A20208-0,A278-0
A20208-0,A28821-0
A20208-0,A32399-0
A20208-0,A35306-1
A20208-0,A36686
A20208-0,A3728
A20208-0,A39276-0
A20208-0,A44166-0
A20208-0,A44671-0
A20208-0,A4733-0
A20208-0,A49557-0
A20208-0,A51435-0
A20213,A40236-0
A20213,A9310-0
A20216-0,A2538-0
A20216-0,A27452-0-0
A20216-0,A38761-1
A20216-0,A47237-0
A20216-0,A8020-0-3
A2025-0,A6614-1
A20256-0,A32399-0
A20256-0,A4732-0
A20256-1,A32399-0
A20256-1,A4732-0
A20256-1,A8598-0
A20256-2,A26627
A20256-2,A2797-0
A20256-2,A4731-0
A20256-2,A4732-0
A20256-2,A921-0
A20275-0,A27015-7
A20275-0,A35953-1
A20275-0,A52243-8-1
A20275-0,A8039-0
A20281-1,A33558-0
A20281-1,A49682-42
A20281-1,A50948-3
A20281-1,A7232-0
A20281-1,A8020-39
A20285-0,A22292-3
A20285-0,A38427-0
A20285-0,A48452-1
A20285-0,A6129-5
A20286-0,A49676-0-3
A20286-1,A22883-0
A20286-1,A27027-0-2
A20286-2,A46009
A20286-2,A8019-2-0
A20286-4,A8079-0
A20289-Unknow1,A25272-0
A20289-Unknow1,A29479-0
A20290-0,A28125-0
A20290-0,A32014-0
A20290-0,A47571-0
A20290-0,A49678-0-1
A20290-0,A7232-0
A20290-0,A7798-0
A20292,A42586-0
A20314-2,A38218-0
A20314-2,A6887-1
A20314-2,A6999-8
A20323-0,A22213-1
A20323-0,A50404-0
A20360-1,A23811-2
A20360-1,A24462-0
A20360-2,A20412-0
A20360-2,A2290-1
A20360-2,A38680-1
A20381,A27905-0
A20381,A39739-0
A20381,A52031-0
A20387-0,A20655-0-0
A20387-0,A26507-1-0
A20387-0,A28270-0-2
A20387-0,A28887-1
A20387-0,A44263-0
A20387-0,A49931-0
A20412-0,A2290-1
A20412-0,A24462-0
A20412-0,A24462-1
A20412-0,A38589-0
A20412-0,A38680-1
A20412-0,A4167-0
A20412-0,A42592-1
A20412-0,A46356-0
A20462-1,A24242-1
A20462-1,A24242-2
A20462-1,A6340-0
A20470,A21165-0
A20470,A31359
A20470,A9561-0
A20505-0,A40236-0
A20505-0,A42918
A20505-0,A4350-0
A20505-0,A9310-0
A20550-0,A22444-0
A20550-0,A35621-0
A20550-0,A36991-0
A20550-0,A44263-0
A20575-0,A47390-0
A20575-0,A49674-0-3
A20577-0,A49685-0-3
A20585-0,A20648-8
A20585-0,A27027-6
A20585-0,A38765-1
A20585-0,A46427
A20585-0,A6137-2
A20585-0,A9456-0
A20594-0,A20667-2-0
A20594-0,A22667-0
A20594-0,A27027-42
A20594-0,A27464-8-0
A20594-1,A39739-0
A20594-1,A43662-0
A20594-1,A52586-1
A20596-0,A27446-2
A20596-0,A35449-0
A20596-0,A37334-0
A20596-0,A52311-1
A20596-0,A52593-0
A20598-0,A34169
A20598-0,A5874-0
A20608-11,A25847-0
A20608-2,A27220-0-0
A20610-0,A20626-26
A20610-0,A2689-1
A20610-0,A39748-0
A20610-0,A47614
A20610-0,A52245-2
A20610-0,A52370-6
A20610-0,A7713-1
A20610-0,A8110-0
A20610-6,A20614-0-0
A20610-6,A28272-4
A20610-6,A52245-2
A20610-6,A52370-0-1
A20610-Unknow0,A52245-2
A20610-Unknow0,A7713-1
A20610-Unknow0,A8110-0
A20612-14,A40236-0
A20612-14,A40875-1
A20612-14,A6330-0
A20614-0-0,A20655-2
A20614-0-0,A22227-0
A20614-0-0,A22227-2
A20614-0-0,A22367-0
A20614-0-0,A22495-5
A20614-0-0,A24935-1
A20614-0-0,A52370-0-1
A20614-0-0,A9279
A20614-10,A52271-0-0
A20614-10,A52345-1
A20614-2,A50916-0
A20614-2,A52554-0
A20616-0,A45034-2
A20616-0,A51350-0
A20618-0,A32517
A20618-0,A52274-Unknow0
A20618-0,A8020-Unknow3
A20618-0,A8043-10
A20621-Unknow0,A50372-0
A20623-4,A28264-0
A20623-4,A45258-1-1
A20623-4,A52352-13
A20623-9,A27238-0-4
A20623-9,A32824-0
A20623-9,A39308-0
A20624-3,A35144-8
A20624-3,A46639-8
A20624-3,A49686-86
A20624-3,A52241-5
A20625-3,A25740-0
A20625-3,A27550-0
A20626-25,A36137-0
A20626-25,A45267-0
A20626-25,A47637-0
A20626-27,A27220-0-0
A20626-27,A45267-0
A20626-27,A52163-1
A20627-0,A39316-0
A20627-0,A49680-2
A20627-12,A49678-0-1
A20627-12,A7232-0
A20627-5,A37707-0-2
A20627-5,A49678-3
A20648-0-0,A28763
A20648-0-0,A49678-0-1
A20648-0-0,A49682-0-2
A20648-0-0,A6289
A20648-0-1,A27015-7
A20648-0-1,A45066-0
A20648-0-1,A52370-0-2
A20648-1,A37707-0-2
A20648-1,A37707-Unknow0
A20648-1,A43487-1
A20648-1,A45269-9
A20648-1,A47336-1
A20648-1,A49676-0-3
A20648-1,A49677-0-0
A20648-1,A51154-0
A20648-1,A51296-0
A20648-1,A52255-0-1
A20648-1,A8228-2
A20648-2-1,A49677-0-0
A20648-8,A9456-0
A20653-0-3,A21209-0
A20653-0-3,A35144-0-1
A20653-0-3,A38878
A20653-0-3,A42738-1
A20653-0-3,A51462-0
A20653-0-3,A52371-0-1
A20653-0-3,A7752-1-3
A20653-1-0,A50916-0
A20653-1-0,A52554-0
A20653-1-3,A27464-1
A20653-1-3,A29388-0
A20653-14,A28273-0-0
A20653-14,A32249-1
A20653-14,A39171
A20653-14,A49428-0
A20653-14,A49681-6
A20653-16,A27027-46
A20653-17,A34416-0
A20653-17,A44798-0
A20653-2,A42738-1
A20653-2,A47638-0
A20653-2,A9456-0
A20655-0-0,A27014-4
A20655-0-0,A27034-2
A20655-0-0,A27224-3
A20655-0-0,A27915-0
A20655-0-0,A28183-2
A20655-0-0,A28270-0-1
A20655-0-0,A28270-0-2
A20655-0-0,A28270-1
A20655-0-0,A45266-0
A20655-0-0,A49669-3
A20655-0-0,A49931-0
A20655-0-0,A51088-10
A20655-0-0,A51607-0
A20655-0-0,A51801-22
A20655-0-0,A52237-0-1
A20655-0-0,A52237-7
A20655-0-0,A52255-0-1
A20655-1-0,A50943-0-0
A20655-1-0,A51349-1
A20655-1-0,A52348-2
A20655-1-1,A27049-3
A20655-1-1,A27296-1
A20655-1-1,A33558-0
A20655-1-1,A8020-39
A20655-1-2,A27454-5-1
A20655-1-2,A27456-1
A20655-1-2,A37213-0
A20655-2,A22495-5
A20655-2,A27014-4
A20655-2,A27034-2
A20655-2,A2800-2
A20655-2,A28267-1
A20655-2,A28270-1
A20655-2,A28671-2
A20655-2,A29518-0
A20655-2,A42727-1
A20655-2,A49676-Unknow4
A20655-2,A51154-2
A20655-2,A52247-8
A20655-2,A52348-1
A20655-2,A6372-0
A20655-2,A7232-0
A20655-2,A8008-34
A20655-2,A8030-1-6
A20655-20,A52252-9
A20655-Unknow1,A20667-24
A20655-Unknow1,A28270-0-2
A20655-Unknow1,A52249-0
A20655-Unknow1,A52251-0
A20655-Unknow3,A40945-0
A20657-0-3,A25346-0
A20657-0-3,A46768-0
A20657-0-3,A52567-Unknow0
A20657-11,A8006-0-5
A20657-13,A46768-0
A20657-13,A51963
A20658-11,A7703-2
A20658-12,A8144-0
A20658-8,A22068-2
A20658-8,A27022-1
A20658-8,A49682-20
A20658-8,A49686-86
A20658-8,A51390-1
A20658-8,A52241-5
A20658-9,A20663-4
A20658-9,A22101-0
A20658-9,A42686-0
A20658-9,A50814-1
A20663-16,A22107-0
A20663-16,A51393-2
A20663-21,A21209-0
A20663-21,A7706-0
A20663-3,A25208-0
A20663-3,A27027-0-4
A20663-3,A27464-1
A20663-3,A30282-0
A20663-3,A31101-2
A20663-3,A42659
A20663-3,A45223-0
A20663-3,A45267-0
A20663-3,A50962-2
A20663-3,A52216
A20663-3,A52345-0-3
A20663-3,A52554-0
A20663-3,A8016-17
A20663-3,A8468-0
A20663-3,A9549-2
A20663-4,A42686-0
A20663-4,A50814-1
A20664-0,A27022-1
A20664-0,A35953-1
A20665-19,A26563
A20665-19,A39738-0
A20665-7,A52109-0
A20666-18,A44546-0
A20666-3,A27017-11
A20666-3,A33553-0
A20666-3,A42739-0
A20666-3,A42871-1
A20666-3,A49677-0-0
A20666-3,A50943-8-2
A20666-3,A6733-0
A20666-3,A8020-0-9
A20666-4,A26507-55
A20666-4,A26978-0
A20666-4,A42727-1
A20666-4,A47311-0
A20667-0-2,A25783-0
A20667-0-2,A35956-3
A20667-0-2,A4259-0
A20667-0-2,A45268-1
A20667-0-3,A36006-0
A20667-0-8,A49677-0-0
A20667-24,A28270-0-2
A20667-24,A52249-0
A20667-24,A52251-0
A20677-0,A21989-0
A20677-0,A39308-0
A20677-0,A48163-0
A20677-0,A48164-0
A20679-1,A21231-0
A20688-0,A39654-0
A20688-0,A48917-0
A20692-0,A43604-2
A20692-0,A47939-0
A20692-0,A8598-0
A20701-0,A23883-0
A20701-0,A24621-0
A20701-0,A25811
A20701-0,A32399-0
A20708-0,A21412-0
A20708-0,A27454-10-1
A20708-0,A27454-23
A20708-0,A28291-1
A20708-0,A33697
A20708-0,A3641
A20708-0,A42764-0
A20708-0,A8523-6
A20738-0,A26239-0
A20738-0,A3044-0
A20756-0,A23533-0
A20756-0,A29205-0
A20756-0,A46112-0
A20770-1,A32255-0
A20770-1,A50063-0
A20814-0,A46759-0
A20828-0,A49687-120
A20828-0,A50943-13
A20828-0,A50943-30
A20828-0,A52060-0
A20828-0,A52060-1
A20828-0,A52366-1
A20828-0,A52589
A20838-0,A26934-0
A20838-0,A27022-1
A20838-0,A49682-7
A20838-0,A7939-0
A20854-0,A33352-3
A20854-0,A8006-0-3
A20855-0,A27460-33
A20855-0,A34125-0
A20855-0,A47382-0
A2089-0,A21989-0
A2089-0,A28252-0
A2089-0,A49677-0-0
A2089-0,A50764-0
A2089-0,A7180-0
A2089-0,A7180-1
A20899-0,A25178-1
A20954,A8021-0-0
A20960-0,A37726-1
A20960-0,A52287-1
A20960-0,A52287-Unknow0
A20960-0,A52345-1
A2098-0,A22511-0
A20981-0,A43778-0
A21000,A24176
A21000,A44329-0
A21000,A51599-0
A2102,A22227-1
A2102,A27050-2
A2102,A28274-0-3
A2102,A28919-1
A2102,A35756-1
A2102,A44402
A2102,A49683-14
A2102,A7232-0
A2102,A7892-0
A2104,A25790-0
A2104,A29681
A2104,A35449-0
A2104,A40809-0
A21046-0,A22062-0
A21046-0,A22211-0
A21046-0,A23334-1
A21046-0,A23745
A21046-0,A23883-0
A21046-0,A23885-0-35
A21046-0,A23885-1-11
A21046-0,A26507-6
A21046-0,A27027-118
A21046-0,A27045-0
A21046-0,A27110-0
A21046-0,A27226-28
A21046-0,A27237-0
A21046-0,A27380-0
A21046-0,A27464-1
A21046-0,A27925-3
A21046-0,A28261-6
A21046-0,A28666-0
A21046-0,A31864
A21046-0,A34758
A21046-0,A36252-0
A21046-0,A38354-0
A21046-0,A39926
A21046-0,A40236-0
A21046-0,A41628
A21046-0,A42467-1
A21046-0,A42592-1
A21046-0,A42826-1
A21046-0,A42826-Unknow0
A21046-0,A43166-0
A21046-0,A43430-0
A21046-0,A43430-1
A21046-0,A45066-0
A21046-0,A45263-3
A21046-0,A45267-0
A21046-0,A45904-0
A21046-0,A47411-1
A21046-0,A51235-0
A21046-0,A51379-Unknow0
A21046-0,A51589-0
A21046-0,A52163-1
A21046-0,A52241-5
A21046-0,A52370-0-2
A21046-0,A52656
A21046-0,A52657
A21046-0,A606
A21046-0,A7999-0-7
A21046-0,A8009-8
A21046-0,A8013-8
A21046-0,A8020-Unknow1
A21046-0,A8275-0
A21046-0,A9162
A21046-1,A27027-Unknow6
A21046-1,A27237-Unknow2
A21046-1,A42723-Unknow0
A21046-1,A52370-0-2
A21090-0,A37833-0
A21141-0,A27271-1
A21141-0,A40057-0
A21141-0,A43367-2
A21141-0,A44017-0
A21147-0,A35003-0
A21152,A44573-0
A21152,A52384-2
A21153-1,A23877-0-3
A21165-0,A2214-0
A21165-0,A24490-1
A21165-0,A30-0
A21165-0,A31359
A21165-0,A3249
A21165-0,A49466-0
A21165-0,A52298
A21165-0,A9561-0
A21209-0,A49929-0
A21209-0,A51340-Unknow2
A21209-0,A7706-0
A21209-0,A7752-1-3
A2122,A22414-1
A2122,A27426-0
A2122,A28764-0
A2122,A32968-1
A21220-0,A41054-0
A21220-0,A45349
A21231-0,A32007-0
A21231-0,A32253-0
A21231-0,A32351-0
A21231-0,A35449-0
A21231-0,A39782-0
A21231-0,A46195-3
A21257-0,A2200-0
A21257-0,A23920-0
A21257-0,A25970
A21257-0,A35532-0
A21257-0,A4397-1
A21257-0,A5576
A21271-0,A25103
A21271-0,A38729
A21271-0,A42001-0
A21271-0,A49687-20
A21271-0,A52249-Unknow0
A21298,A2962-0
A21298,A46525-0
A21298,A50156-0
A21298,A8019-53
A21341-0,A21653-0
A21341-0,A24411-1
A21341-0,A26217-0
A21341-0,A26217-1
A21341-0,A31218
A21341-0,A37177
A21341-0,A38299-1
A21341-0,A45258-4
A21341-0,A45716-0
A21341-0,A4796-0
A21343,A30226
A21343,A38645-0
A21343,A50230
A21404-1,A49912-3
A21404-1,A6415-0
A21412-0,A37656-0
A21412-0,A8523-6
A21416-0,A35449-0
A21416-0,A52357-0-0
A21416-0,A8015-14
A21416-0,A8015-8
A21437,A49570-2
A21437,A6629-0
A21438-0,A25789-0
A21438-0,A26508-1-1
A21438-0,A27106
A21438-0,A29708-0
A21438-0,A35658
A21438-0,A49668-9
A21488-1,A51347-33
A21488-1,A8020-1
A21488-1,A8043-0-0
A21499-1,A35306-1
A21499-1,A8341-0
A21499-2,A46487
A21519-0,A36883-2
A21519-0,A36883-4
A21519-0,A38716-1
A21519-0,A39738-0
A21519-0,A46806-1
A21519-0,A48873-0
A21519-0,A592-0
A21542,A24834-0
A21542,A27918-3
A21613-0,A24181-0
A21613-0,A28521
A21613-0,A37144-0
A21613-0,A50273-0
A21636-1,A49428-0
A21649-0,A28180-Unknow0
A21649-0,A37700-2
A21649-0,A37908
A21649-0,A37909-0
A21649-0,A37909-1
A21649-0,A42001-0
A21649-0,A43265-0
A21649-0,A45156-1
A21649-0,A49674-13
A21649-0,A52371-0-0
A21653-0,A23889-0-4
A21653-0,A29148-0
A21653-0,A37319
A21653-0,A45258-4
A21653-0,A50020-1
A21654,A29788
A21672-0,A27462-0
A21672-0,A52255-0-1
A21688-0,A36006-0
A21701-0,A35410-0
A21701-0,A541-0
A21706-0,A28274-0-2
A21706-0,A7232-0
A21712-0,A22283-0
A21712-0,A2869
A21712-0,A47468-2
A21712-0,A6716-0
A21715,A48082-1
A21719-0,A2797-0
A21719-0,A35718-1
A21719-0,A40090-0
A21736-0,A32911-0
A21736-0,A43265-0
A21740,A28180-1
A21740,A3060-0
A21740,A38077-1
A21740,A6940-0
A2175-0,A39001-0
A2175-0,A44671-0
A21753,A2844
A21753,A41712-0
A21758-0,A22352
A21758-0,A26822-0
A21758-0,A29414-0
A21758-0,A3240-1
A21758-0,A37833-0
A2178-0,A22051-Unknow0
A2178-0,A27365
A2178-0,A31181
A2178-0,A32246-0
A2178-0,A36578-1
A2178-0,A36578-2
A2178-0,A42051-0
A2178-0,A42851-0
A2178-0,A43712-0
A2178-0,A44408-1
A2178-0,A46089-1
A2178-0,A49674-0-3
A2178-0,A52639-1
A2178-0,A8040-1
A21788,A40158-0
A21788,A51801-0
A21806-0,A44671-0
A21821-0,A31917-0
A21821-0,A7305-0
A21887-0,A8159-0
A2189,A4525-0
A2189,A46899
A21892,A35811-0
A21894-0,A39864-0
A21894-0,A42764-0
A21902-0,A27014-4
A21902-0,A27922-0
A21902-0,A28270-0-2
A21902-0,A43982-0
A21902-0,A6744-1
A21902-2,A22107-0
A21902-2,A27014-Unknow0
A21902-2,A6744-1
A21902-2,A6744-Unknow0
A21919-0,A3061-1
A21919-0,A47562-0
A21926-0,A2580-0
A21926-0,A52415-1
A21926-0,A52415-2
A21938-0,A27452-0-0
A21938-0,A30009-0
A21938-0,A30326-1
A21938-0,A34913
A21938-0,A35416-15
A21938-0,A39739-0
A21938-0,A43028-1
A21938-0,A43662-0
A21938-0,A51002-0
A21938-0,A5834
A21939-1,A41457-0
A21939-1,A45269-2
A21939-1,A52246-6
A21944-0,A23964-2
A21944-0,A36844
A21947-3,A23889-0-4
A21949-0,A27239-0
A21955-0,A35409-0
A21955-0,A43294-0
A21955-0,A8020-33
A21989-0,A26597-0
A21989-0,A36267
A21989-0,A48163-0
A21989-0,A48164-0
